id	original_file	pages	date_written	date_scanned	doc_type	topic_tags	published_relation	ocr_status	ocr_quality	duplicate_of	sha256
dew-2020-10-04-incompleteness-notes	2020Notes.pdf	81	2020-10-04	2025-12-29	notes	incompleteness;lob;godel;teaching;hilbert	overlaps Willard2020/incompleteness line	complete	good		7997dc144a7d8612db9b21b0fbc89fe9d284ceeb1ab0edb9b2f6c3439a95cfd1
dew-2008-03-14-zcf-set-theory-difficulties	20080314_ZCF_notes.pdf	6	2008-03-14	2024-10-29	draft	set-theory;zfc;zf;bool4;unpublished	none	complete	poor		81760768385621e7c46c0d0990c41150910853b384c40acb5a71dc22af102a1f
dew-2008-03-18-zcf-set-theory	20080318_ZCF_notes.pdf	8	2008-03-18	2024-10-29	draft	set-theory;zfc;zf;bool4;unpublished	none	complete	fair		401003f868ffbc105039949b041f56623f3a99e2b4d28329739c76b9f3e4307d
dew-2008-03-21-zcf-set-theory-variant	20080321_ZCF_notes_notepage7doubled.pdf	9	2008-03-21	2024-10-29	draft	set-theory;zfc;zf;bool4;unpublished	none	complete	good		1f9dbcfa55429d4c6994b8c879dfb588705d5dcea50f0390a60f40ae3c4f5461
dew-2008-03-08-zf-inconsistency-draft	ZFnote.pdf	1	2008-03-08	2025-12-24	notarized	set-theory;zf;zfc;fixed-point;unpublished	none	complete	good		33c07711a8d2947f65ecb1893dc8548987ae79e264441667a9900f638d727ac3
dew-2014-05-10-notarized-notes-low	05102014_notarized_notes_scan_low_res.pdf	2	2014-05-10	2024-10-08	notarized	set-theory;zcf;variant-lowres	none	complete	fair		295a6c1db4173f09a700f53343e037d55fa85a5e790c50a96776366bea9323c5
dew-2014-05-10-notarized-notes-high	2024-10-08 20.13.17_05102014_notarized_notes_scan_higher_res.pdf	4	2014-05-10	2024-10-08	notarized	set-theory;zcf;variant-highres	none	complete	fair		5633819cb1e37504a832f3e6318d69fc397f74f01ba65383b5a52c98bf36c60f
dew-hajek-correspondence	Correspondence_Hajek.pdf	9	unknown	2025-12-24	correspondence	sjas;incompleteness;set-theory;provability	unknown	complete	fair		af31199807a921e4744defc4fa689634eb881d067cc688f47aa19d01f1f0bca9
dew-2014-exam	Exam_2014.pdf	6	2014	2025-12-24	exam	incompleteness;teaching;tableaux	unknown	complete	good		991e73c8566d1e55dc142f8dc38a68534716ca6302ed52308c6ad1f6bb7e5de7
dew-phd-notes-1	Notes_Phd1.pdf	15	unknown	2025-12-29	notes	dissertation;early-career;database-theory	unknown	complete	poor		48f704bcda5de3855bca9b895c7e0bbb827813ec8ee773c9920d5b7556a116d9
dew-computational-dynamics-notes	Notes_Thetheoryofcomputationaldynamics.pdf	30	unknown	2025-12-29	notes	computational-dynamics;non-logic	none	complete	poor		d912563847d6a569c0fd6eafc0bc4939918aba997a5763099f460e0c7505bdfe
dew-1991-nsf-report	NSF_1991_Report.pdf	3	1991	2025-12-24	report	admin;nsf	none	complete	fair		1215a1c2e330797ba639917a749327561c2ef7cc646a4ddf681b2c4d1f7aa1c1
dew-2025-12-22-scan-a	2025-12-22 09.55.35.pdf	28	unknown	2025-12-22	draft	incompleteness;semantic-tableaux;boundary-case;hilbert;godel	overlaps Willard2014/Willard2018 incompleteness line	complete	good		27f9e66c2d0f6de18933ebefdad2abafcc98e2fefdcc745d51f8cb94654b0b68
dew-2025-12-22-scan-b	2025-12-22 09.58.14.pdf	9	unknown	2025-12-22	notes	sjas;semantic-tableaux;deduction-methods	unknown	complete	good		293e34ee4a4ff9d0b059636b2e4eba7e7b8194e3dfd31ccfaeac15ee6d8257e2
dew-2025-12-24-scan-a	2025-12-24 14.07.32.pdf	3	unknown	2025-12-24	article	biology;trivers-willard;sex-ratio	overlaps Willard1973	complete	good		b3179012d44183b5310478e8a87488a8cd66103ffebf628ab04a20d4ccde21d8
dew-2025-12-24-scan-b	2025-12-24 14.44.42.pdf	8	unknown	2025-12-24	draft	hilbert;consistency-program;incompleteness;philosophy	overlaps Willard2018	complete	good		45d30f71ccd6ec7ea03dd5250ea7013af8b3a86b098ae267ca81143a87db1eab
dew-2008-03-18-zcf-set-theory-alias	DOC102924-10292024193836.pdf	8	2008-03-18	2024-10-29	draft	set-theory;zfc;zf;bool4;unpublished	none	skipped	n/a	dew-2008-03-18-zcf-set-theory	401003f868ffbc105039949b041f56623f3a99e2b4d28329739c76b9f3e4307d
dew-doc102924-fragment	DOC102924-10292024193202.pdf	2	unknown	2024-10-29	fragment	set-theory;zcf;fragment	unknown	complete	poor		b44e40bc91a665e8a3e174072fbb8da7b3f89b70ae6f1bffadb11e7324143cd7
