page	mean_confidence	chars	psm
1	94.9	989	
2	86.7	1451	
3	92.0	1721	
4	89.2	1282	
5	81.5	1131	
6	93.1	1618	
7	90.6	1427	
8	88.7	1399	
9	91.0	1554	
10	94.8	1561	
11	92.4	1522	
12	94.0	1566	
13	90.5	1376	
14	94.1	1487	
15	92.7	1448	
16	93.3	1489	
17	94.1	1640	
18	95.3	1677	
19	95.8	1782	
20	95.2	1260	
21	94.4	1612	
22	91.2	1351	
23	85.3	1480	
24	82.2	1334	
25	89.1	1437	
26	92.4	1624	
27	91.6	1282	
28	91.0	1640	
29	95.7	1547	
30	94.9	1575	
31	90.3	1463	
32	85.7	1322	
33	82.2	1147	
34	87.3	1350	
35	92.4	1153	
36	92.7	876	
37	93.8	1427	
38	89.6	1765	
39	78.1	1766	
40	91.6	1294	
41	89.3	1467	
42	90.4	1421	
43	91.2	1617	
44	95.8	1154	
45	57.8	906	
46	86.5	2374	
47	95.7	891	
48	91.6	858	
49	91.7	777	
50	92.4	789	
51	93.7	766	
52	94.0	911	
53	88.5	755	
54	90.6	722	
55	94.2	881	
56	93.5	808	
57	87.5	834	
58	93.7	747	
59	93.5	898	
60	95.0	806	
61	95.8	836	
62	95.7	834	
63	95.0	828	
64	92.4	550	
65	90.7	811	
66	92.8	875	
67	92.8	863	
68	91.8	781	
69	89.5	773	
70	89.1	731	
71	85.7	791	
72	92.9	827	
73	90.6	885	
74	91.5	695	
75	90.8	673	
76	93.0	798	
77	89.6	782	
78	91.1	858	
79	94.7	717	
80	93.8	836	
81	94.3	830	
