level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	1747	175	97	8	-1	
3	1	1	1	0	0	1747	175	97	8	-1	
4	1	1	1	1	0	1747	175	97	8	-1	
5	1	1	1	1	1	1747	175	97	8	0.000000	mms
2	1	2	0	0	0	665	279	241	27	-1	
3	1	2	1	0	0	665	279	241	27	-1	
4	1	2	1	1	0	665	279	241	27	-1	
5	1	2	1	1	1	665	292	4	5	0.000000	.
5	1	2	1	1	2	721	288	7	12	0.000000	y
5	1	2	1	1	3	734	279	76	18	17.199165	veriante
5	1	2	1	1	4	819	281	21	14	95.718193	of
5	1	2	1	1	5	845	283	61	23	59.301186	Ty,
2	1	3	0	0	0	362	290	1842	56	-1	
3	1	3	1	0	0	362	290	1842	52	-1	
4	1	3	1	1	0	599	290	545	25	-1	
5	1	3	1	1	1	599	300	49	15	92.274567	many
5	1	3	1	1	2	655	290	65	18	20.264053	differes’
5	1	3	1	1	3	736	286	6	36	56.887184	©
5	1	3	1	1	4	761	300	45	12	0.000000	ityin,
5	1	3	1	1	5	907	295	28	18	83.011581	NS
5	1	3	1	1	6	1140	311	4	4	57.333988	.
4	1	3	1	2	0	362	294	1842	52	-1	
5	1	3	1	2	1	362	317	66	15	20.292999	vere
5	1	3	1	2	2	434	314	30	13	51.769482	ous
5	1	3	1	2	3	472	310	35	15	90.532303	that
5	1	3	1	2	4	514	307	45	23	79.140747	there
5	1	3	1	2	5	566	307	27	10	62.111553	are
5	1	3	1	2	6	607	295	39	46	36.061813	MONT
