level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	1970	-1	
2	1	1	0	0	0	6	0	2540	1898	-1	
3	1	1	1	0	0	6	0	2543	1898	-1	
4	1	1	1	1	0	1403	0	1143	149	-1	
5	1	1	1	1	1	1403	0	733	149	23.387192	cee
5	1	1	1	1	2	2346	0	200	149	33.572838	ce
4	1	1	1	2	0	931	2	1564	164	-1	
5	1	1	1	2	1	931	2	13	1	7.153885	_
5	1	1	1	2	2	1983	109	62	15	38.549618	+09
5	1	1	1	2	3	2173	125	18	18	79.358070	Q
5	1	1	1	2	4	2293	128	18	18	82.613258	Q
5	1	1	1	2	5	2336	128	41	24	14.627159	eo
5	1	1	1	2	6	2404	131	23	30	0.000000	e
5	1	1	1	2	7	2450	132	45	34	23.597191	Ba
4	1	1	1	3	0	744	0	1755	190	-1	
5	1	1	1	3	1	744	0	65	41	0.000000	OO
5	1	1	1	3	2	1707	107	40	13	51.819500	SE
5	1	1	1	3	3	1787	108	37	25	62.989243	12
5	1	1	1	3	4	1935	109	17	31	39.920967	8
5	1	1	1	3	5	1983	121	62	27	30.377472	B38
5	1	1	1	3	6	2173	145	11	24	26.827652	i
5	1	1	1	3	7	2293	148	11	24	17.257965	g
5	1	1	1	3	8	2335	149	164	41	0.000000	88e8er
5	1	1	1	3	9	2482	144	19	54	40.426361	4
4	1	1	1	4	0	444	2	2055	211	-1	
5	1	1	1	4	1	444	2	38	1	28.255836	—
5	1	1	1	4	2	1585	106	66	23	34.942543	eg
5	1	1	1	4	3	1707	119	42	22	38.051239	8s
5	1	1	1	4	4	1806	125	17	17	0.000000	|2
5	1	1	1	4	5	1885	137	11	19	2.694466	Bm
5	1	1	1	4	6	1934	141	86	22	2.694466	S228
5	1	1	1	4	7	2033	133	41	48	31.237991	Big
5	1	1	1	4	8	2173	170	11	12	60.867962	8
5	1	1	1	4	9	2293	173	11	12	19.671135	pw
5	1	1	1	4	10	2335	176	62	37	28.692581	fap
5	1	1	1	4	11	2413	182	86	26	30.315765	SEE
4	1	1	1	5	0	1517	116	976	119	-1	
5	1	1	1	5	1	1517	116	17	28	63.616604	5
5	1	1	1	5	2	1584	128	62	23	13.059006	BEw
5	1	1	1	5	3	1707	140	36	15	49.874172	ce
5	1	1	1	5	4	1780	150	67	25	64.997055	Bay
5	1	1	1	5	5	1885	159	113	25	0.000000	BmoRe
5	1	1	1	5	6	2007	169	38	21	16.492081	oe
5	1	1	1	5	7	2057	178	16	13	67.723511	3
5	1	1	1	5	8	2148	193	41	9	57.178619	am
5	1	1	1	5	9	2213	195	96	19	0.000000	onudgh
5	1	1	1	5	10	2334	204	41	13	7.804878	eR
5	1	1	1	5	11	2387	207	78	24	0.000000	Sfs
5	1	1	1	5	12	2477	199	16	36	31.070625	sy
4	1	1	1	6	0	159	12	2334	248	-1	
5	1	1	1	6	1	159	12	20	6	80.016464	~
5	1	1	1	6	2	1150	97	21	31	47.108894	il
5	1	1	1	6	3	1225	114	16	12	48.534027	i
5	1	1	1	6	4	1296	114	16	13	40.837578	&
5	1	1	1	6	5	1518	145	5	6	62.366600	5
5	1	1	1	6	6	1609	150	36	12	55.417168	a5
5	1	1	1	6	7	1658	156	139	24	13.991287	Perot
5	1	1	1	6	8	1884	177	110	28	6.558983	Seog
5	1	1	1	6	9	2012	187	56	17	12.595024	sez
5	1	1	1	6	10	2098	193	91	21	10.691566	TOSs
5	1	1	1	6	11	2218	205	61	26	61.499828	OST
5	1	1	1	6	12	2333	219	62	20	1.586243	8
5	1	1	1	6	13	2418	231	75	29	30.650223	ee
4	1	1	1	7	0	6	0	2467	265	-1	
5	1	1	1	7	1	6	2	5	5	19.502686	.
5	1	1	1	7	2	40	0	402	50	0.000000	Rost
5	1	1	1	7	3	852	97	60	18	37.187157	Hey
5	1	1	1	7	4	973	99	66	33	0.000000	x29
5	1	1	1	7	5	1154	120	11	36	21.805229	§
5	1	1	1	7	6	1225	128	15	13	85.475700	8
5	1	1	1	7	7	1296	129	16	20	24.358429	5
5	1	1	1	7	8	1559	155	183	45	0.000000	SeeEEReG
5	1	1	1	7	9	1759	170	87	40	23.353989	SEE?
5	1	1	1	7	10	1884	189	36	24	6.068382	eg
5	1	1	1	7	11	1936	196	81	21	0.000000	esza
5	1	1	1	7	12	2030	199	37	27	2.442230	ae
5	1	1	1	7	13	2098	208	79	28	0.000000	Be
5	1	1	1	7	14	2213	213	95	52	0.000000	QE,
5	1	1	1	7	15	2333	231	92	33	39.238823	Pa
5	1	1	1	7	16	2442	249	31	16	0.000000	*W
4	1	1	1	8	0	876	110	1569	169	-1	
5	1	1	1	8	1	876	110	12	11	46.839657	°
5	1	1	1	8	2	971	121	67	22	42.534149	gee
5	1	1	1	8	3	1225	143	4	5	0.000000	.
5	1	1	1	8	4	1584	178	41	15	0.000000	6k
5	1	1	1	8	5	1658	188	36	13	13.803986	ED
5	1	1	1	8	6	1755	207	17	5	26.678650	on
5	1	1	1	8	7	1880	214	40	10	5.721169	SP
5	1	1	1	8	8	1934	217	84	23	9.137230	8S
5	1	1	1	8	9	2056	227	12	12	12.173508	}
5	1	1	1	8	10	2122	236	37	10	33.826340	oo
5	1	1	1	8	11	2231	252	28	7	0.000000	ge
5	1	1	1	8	12	2271	248	13	13	69.124237	&
5	1	1	1	8	13	2384	260	61	19	9.389526	Wo
4	1	1	1	9	0	62	30	2435	265	-1	
5	1	1	1	9	1	62	30	113	37	0.000000	g2iog
5	1	1	1	9	2	515	91	91	18	12.871033	sagey
5	1	1	1	9	3	851	113	61	22	9.155075	50
5	1	1	1	9	4	971	131	40	14	64.449234	8s
5	1	1	1	9	5	1463	181	71	16	33.850586	aoe
5	1	1	1	9	6	1558	186	87	18	10.609825	Bes
