level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	319	22	926	44	-1	
3	1	1	1	0	0	319	22	926	44	-1	
4	1	1	1	1	0	319	22	926	44	-1	
5	1	1	1	1	1	319	22	39	32	89.173492	(d)
5	1	1	1	1	2	383	25	242	35	1.191933	Decipherz,.(i,e€)
5	1	1	1	1	3	660	40	24	10	83.285133	=
5	1	1	1	1	4	721	33	48	22	69.133453	“B”
5	1	1	1	1	5	785	34	32	22	93.948853	iff
5	1	1	1	1	6	825	35	74	23	96.109222	there
5	1	1	1	1	7	911	37	78	23	96.949417	exists
5	1	1	1	1	8	1003	39	85	27	96.574326	proofs
5	1	1	1	1	9	1101	40	28	23	96.755112	of
5	1	1	1	1	10	1138	41	107	23	96.606407	BOTH
2	1	2	0	0	0	290	88	816	51	-1	
3	1	2	1	0	0	290	88	816	51	-1	
4	1	2	1	1	0	290	88	816	51	-1	
5	1	2	1	1	1	290	88	48	23	96.805641	For
5	1	2	1	1	2	351	96	77	23	96.135132	many
5	1	2	1	1	3	441	93	97	27	96.529663	typical
5	1	2	1	1	4	551	96	144	24	96.143806	consistent
5	1	2	1	1	5	708	98	86	23	96.143806	axiom
5	1	2	1	1	6	807	95	155	38	96.312172	formalisms
5	1	2	1	1	7	977	98	129	41	30.212120	Systemrz,
2	1	3	0	0	0	139	121	1122	100	-1	
3	1	3	1	0	0	139	121	1122	100	-1	
4	1	3	1	1	0	290	121	971	43	-1	
5	1	3	1	1	1	290	121	33	28	96.871170	by
5	1	3	1	1	2	335	129	16	16	96.609291	a
5	1	3	1	1	3	363	125	128	23	96.654617	recursive
5	1	3	1	1	4	501	126	127	25	96.731560	function.
5	1	3	1	1	5	645	130	130	29	96.693665	However,
5	1	3	1	1	6	787	133	54	23	97.007545	this
5	1	3	1	1	7	854	134	89	28	96.240768	object
5	1	3	1	1	8	956	136	20	23	96.240768	is
5	1	3	1	1	9	990	137	51	22	96.800484	still
5	1	3	1	1	10	1054	138	55	23	93.305817	well
5	1	3	1	1	11	1120	139	141	25	59.349701	defined-in
4	1	3	1	2	0	139	133	849	61	-1	
5	1	3	1	2	1	139	133	29	61	92.478714	(
5	1	3	1	2	2	289	156	85	22	96.276573	axiom
5	1	3	1	2	3	387	160	109	25	96.156685	systems
5	1	3	1	2	4	509	160	40	22	96.149841	ZF
5	1	3	1	2	5	561	162	52	23	96.149841	and
5	1	3	1	2	6	625	163	64	23	95.963264	ZFC
5	1	3	1	2	7	701	170	28	17	96.200974	as
5	1	3	1	2	8	742	165	63	28	96.478180	they
5	1	3	1	2	9	817	173	77	21	93.092484	prove
5	1	3	1	2	10	907	171	81	21	90.038063	meta-
4	1	3	1	3	0	226	182	758	39	-1	
5	1	3	1	3	1	226	182	37	22	95.646111	10.
5	1	3	1	3	2	288	183	55	23	95.862312	The
5	1	3	1	3	3	353	188	133	21	96.142075	construct
5	1	3	1	3	4	496	188	94	23	59.440350	Reveals,
5	1	3	1	3	5	624	200	9	20	59.490646	«
5	1	3	1	3	6	644	189	30	31	69.730743	(i,
5	1	3	1	3	7	683	190	25	31	83.899391	e)
5	1	3	1	3	8	727	193	52	22	96.877731	will
5	1	3	1	3	9	789	194	95	24	96.686325	denote
5	1	3	1	3	10	894	202	15	17	96.155960	a
