level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	607	25	1910	3242	-1	
3	1	1	1	0	0	607	25	1910	3242	-1	
4	1	1	1	1	0	632	25	1792	12	-1	
5	1	1	1	1	1	632	28	6	7	52.515060	=
5	1	1	1	1	2	709	29	3	2	1.059143	:
5	1	1	1	1	3	755	30	6	2	10.834106	r
5	1	1	1	1	4	810	31	42	5	29.048553	me
5	1	1	1	1	5	861	30	18	3	16.864357	oo
5	1	1	1	1	6	910	29	26	4	13.976898	eee
5	1	1	1	1	7	981	25	21	4	15.560371	A
5	1	1	1	1	8	1687	12	281	29	24.551643	RR
5	1	1	1	1	9	2420	26	4	2	0.000000	-
4	1	1	1	2	0	830	37	122	11	-1	
5	1	1	1	2	1	830	44	4	3	23.724632	2
5	1	1	1	2	2	880	33	9	22	8.373299	om
5	1	1	1	2	3	893	37	59	11	0.000000	ageke
4	1	1	1	3	0	662	46	302	21	-1	
5	1	1	1	3	1	662	52	39	12	18.475578	a
5	1	1	1	3	2	811	61	5	4	12.377563	-
5	1	1	1	3	3	871	46	30	21	0.616028	i".
5	1	1	1	3	4	938	52	26	7	3.881088	ss
4	1	1	1	4	0	645	58	304	38	-1	
5	1	1	1	4	1	645	58	178	38	34.375526	ewe
5	1	1	1	4	2	870	64	79	23	27.035820	Shy
4	1	1	1	5	0	635	85	267	13	-1	
5	1	1	1	5	1	635	89	76	7	0.000000	aa.
5	1	1	1	5	2	806	87	9	7	6.079521	i
5	1	1	1	5	3	890	85	12	13	17.361008	i
4	1	1	1	6	0	623	95	314	52	-1	
5	1	1	1	6	1	623	95	31	38	35.048378	oe
5	1	1	1	6	2	666	103	20	23	44.289696	si
5	1	1	1	6	3	739	113	60	34	44.295845	a
5	1	1	1	6	4	880	95	57	27	41.948971	“ee
4	1	1	1	7	0	664	117	259	53	-1	
5	1	1	1	7	1	664	117	65	53	59.019173	“eg
5	1	1	1	7	2	754	132	64	28	13.544128	ial
5	1	1	1	7	3	901	120	22	23	0.000000	“j
4	1	1	1	8	0	642	158	177	12	-1	
5	1	1	1	8	1	642	160	14	10	0.100754	i
5	1	1	1	8	2	708	158	7	4	24.161270	i
5	1	1	1	8	3	818	164	1	4	47.665413	{
4	1	1	1	9	0	653	185	156	23	-1	
5	1	1	1	9	1	653	185	71	23	17.528580	a
