level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	1970	-1	
2	1	1	0	0	0	867	1	474	3	-1	
3	1	1	1	0	0	867	1	474	3	-1	
4	1	1	1	1	0	867	1	474	3	-1	
5	1	1	1	1	1	867	1	474	3	95.000000	 
2	1	2	0	0	0	2	0	870	20	-1	
3	1	2	1	0	0	2	0	870	20	-1	
4	1	2	1	1	0	2	0	870	20	-1	
5	1	2	1	1	1	2	0	870	20	95.000000	 
2	1	3	0	0	0	28	47	244	10	-1	
3	1	3	1	0	0	28	47	244	10	-1	
4	1	3	1	1	0	202	47	70	10	-1	
5	1	3	1	1	1	202	47	70	10	95.000000	 
4	1	3	1	2	0	28	47	40	10	-1	
5	1	3	1	2	1	28	47	40	10	95.000000	 
2	1	4	0	0	0	1943	92	518	1827	-1	
3	1	4	1	0	0	1943	92	518	1827	-1	
4	1	4	1	1	0	1943	92	518	1827	-1	
5	1	4	1	1	1	1943	92	518	1827	95.000000	 
2	1	5	0	0	0	9	125	1898	1798	-1	
3	1	5	1	0	0	9	140	1898	1775	-1	
4	1	5	1	1	0	1842	145	16	11	-1	
5	1	5	1	1	1	1842	145	16	11	52.922173	10
4	1	5	1	2	0	1842	159	16	31	-1	
5	1	5	1	2	1	1842	159	16	31	2.420845	§
4	1	5	1	3	0	1672	145	186	69	-1	
5	1	5	1	3	1	1672	145	16	9	11.690079	2
5	1	5	1	3	2	1712	145	25	27	11.690079	>
5	1	5	1	3	3	1842	192	16	22	76.103897	3
4	1	5	1	4	0	1647	145	211	81	-1	
5	1	5	1	4	1	1647	145	41	30	86.122856	#
5	1	5	1	4	2	1719	174	12	20	88.640289	3
5	1	5	1	4	3	1842	218	16	8	34.119141	4
4	1	5	1	5	0	1675	176	183	64	-1	
5	1	5	1	5	1	1675	176	12	9	56.014671	3
5	1	5	1	5	2	1854	237	4	3	0.000000	°
4	1	5	1	6	0	1562	143	301	125	-1	
5	1	5	1	6	1	1562	143	17	32	84.721916	3
5	1	5	1	6	2	1647	170	40	36	54.841431	33
5	1	5	1	6	3	1713	196	18	25	82.747696	a
5	1	5	1	6	4	1847	242	16	26	41.149670	&
4	1	5	1	7	0	1568	176	96	37	-1	
5	1	5	1	7	1	1568	176	11	11	70.843430	8
5	1	5	1	7	2	1649	204	15	9	55.681656	3
4	1	5	1	8	0	1398	145	460	156	-1	
5	1	5	1	8	1	1398	145	48	11	13.078781	.
5	1	5	1	8	2	1568	189	11	21	3.860733	g
5	1	5	1	8	3	1652	213	36	25	32.272430	EE
5	1	5	1	8	4	1714	230	17	27	52.877598	2
5	1	5	1	8	5	1846	276	12	25	18.632950	g
4	1	5	1	9	0	1387	152	471	174	-1	
5	1	5	1	9	1	1387	152	59	16	63.874641	ga
5	1	5	1	9	2	1568	210	11	11	47.749756	s
5	1	5	1	9	3	1670	240	61	30	12.209061	a§
5	1	5	1	9	4	1843	308	15	18	38.940384	£
4	1	5	1	10	0	1712	270	24	9	-1	
5	1	5	1	10	1	1712	270	24	9	66.853638	&
4	1	5	1	11	0	1341	144	517	195	-1	
5	1	5	1	11	1	1341	144	11	12	26.015686	6
5	1	5	1	11	2	1387	165	16	11	0.000000	5s
5	1	5	1	11	3	1429	181	24	9	0.000000	~
5	1	5	1	11	4	1562	220	17	17	96.885750	>
5	1	5	1	11	5	1652	262	35	17	40.540638	oF
5	1	5	1	11	6	1846	328	12	11	56.594578	°
4	1	5	1	12	0	1293	143	565	224	-1	
5	1	5	1	12	1	1293	143	20	23	48.238731	2
5	1	5	1	12	2	1336	169	17	18	28.975815	>
5	1	5	1	12	3	1387	179	16	19	27.544373	0
5	1	5	1	12	4	1429	192	17	15	46.521446	=
5	1	5	1	12	5	1568	251	11	10	0.000000	@
5	1	5	1	12	6	1647	279	40	21	66.658783	£2
5	1	5	1	12	7	1715	291	20	21	72.065102	=
5	1	5	1	12	8	1846	341	12	26	72.749855	g
4	1	5	1	13	0	1212	143	646	235	-1	
5	1	5	1	13	1	1212	143	11	13	0.000000	“
5	1	5	1	13	2	1292	167	17	16	14.156197	£
5	1	5	1	13	3	1387	199	60	23	44.912285	2a
5	1	5	1	13	4	1568	262	11	9	77.714325	3
5	1	5	1	13	5	1649	292	38	18	85.326431	28
5	1	5	1	13	6	1714	325	17	7	88.687973	3
5	1	5	1	13	7	1846	369	12	9	24.145416	g
4	1	5	1	14	0	1211	157	651	232	-1	
5	1	5	1	14	1	1211	157	13	12	42.828941	3
5	1	5	1	14	2	1297	184	11	9	50.254650	Ss
5	1	5	1	14	3	1341	196	16	13	54.818932	>
