level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	3	217	2547	3081	-1	
3	1	1	1	0	0	3	217	2547	3081	-1	
4	1	1	1	1	0	432	259	1362	43	-1	
5	1	1	1	1	1	432	259	18	30	27.879570	i:
5	1	1	1	1	2	702	279	21	11	59.082088	ay
5	1	1	1	1	3	823	266	6	4	44.107376	7
5	1	1	1	1	4	964	268	5	7	0.000000	t
5	1	1	1	1	5	1738	272	56	30	25.738892	mel
4	1	1	1	2	0	435	290	302	21	-1	
5	1	1	1	2	1	435	291	3	3	0.000000	.
5	1	1	1	2	2	558	290	4	13	5.095062	,
5	1	1	1	2	3	730	296	7	15	60.271164	;
4	1	1	1	3	0	167	217	1806	169	-1	
5	1	1	1	3	1	167	338	3	2	58.842625	|
5	1	1	1	3	2	541	342	3	2	53.715630	|
5	1	1	1	3	3	661	217	7	159	84.511414	|
5	1	1	1	3	4	844	339	222	7	0.000000	“ved
5	1	1	1	3	5	1082	287	161	68	0.000000	ucdlos
5	1	1	1	3	6	1290	271	47	78	78.324318	43
5	1	1	1	3	7	1377	272	204	114	47.763145	Sper
5	1	1	1	3	8	1601	289	372	80	9.833969	-f-~-Ilrees
4	1	1	1	4	0	85	364	2454	52	-1	
5	1	1	1	4	1	85	369	45	15	40.075981	ee
5	1	1	1	4	2	378	364	386	22	11.985794	re
5	1	1	1	4	3	914	360	230	60	0.000000	seem
5	1	1	1	4	4	1269	360	50	60	19.523834	rrr
5	1	1	1	4	5	1344	360	25	60	29.567169	ne
5	1	1	1	4	6	1394	360	261	60	27.480331	eer
5	1	1	1	4	7	2164	360	175	60	6.362144	eT
4	1	1	1	5	0	818	450	1702	27	-1	
5	1	1	1	5	1	818	450	5	2	31.472260	m
5	1	1	1	5	2	2336	452	51	25	52.506706	—
5	1	1	1	5	3	2452	459	8	14	32.191666	‘
5	1	1	1	5	4	2512	457	8	7	35.654686	>
4	1	1	1	6	0	20	465	2497	42	-1	
5	1	1	1	6	1	16	441	52	41	4.511421	soins
5	1	1	1	6	2	61	465	210	7	22.793686	ha
5	1	1	1	6	3	475	471	69	5	19.201279	ae
5	1	1	1	6	4	2172	495	61	11	0.000000	=e
5	1	1	1	6	5	2365	482	47	18	54.139370	ee
5	1	1	1	6	6	2437	492	8	9	34.678818	we
4	1	1	1	7	0	772	529	1746	49	-1	
5	1	1	1	7	1	772	531	10	47	63.140644	i
5	1	1	1	7	2	831	544	4	7	19.822151	j
5	1	1	1	7	3	1533	557	85	12	25.599022	as
5	1	1	1	7	4	1690	563	2	2	7.962173	;
5	1	1	1	7	5	1794	554	3	3	45.706703	‘
5	1	1	1	7	6	1900	545	56	14	24.641617	tery
5	1	1	1	7	7	2060	547	4	2	29.954727	«|
5	1	1	1	7	8	2101	529	86	38	13.868828	lla
5	1	1	1	7	9	2204	554	10	17	20.943230	Pi
5	1	1	1	7	10	2245	552	22	28	3.207886	aR
5	1	1	1	7	11	2305	543	53	34	0.000000	ycat.”
5	1	1	1	7	12	2414	547	104	30	0.000000	—pot-geer
5	1	1	1	7	13	2503	539	20	45	15.946716	Ot
4	1	1	1	8	0	3	556	2527	57	-1	
5	1	1	1	8	1	3	556	30	21	32.454254	a
5	1	1	1	8	2	766	571	32	4	25.871628	ue
5	1	1	1	8	3	831	578	7	4	23.183563	=
5	1	1	1	8	4	1603	567	65	31	0.000000	erst
5	1	1	1	8	5	1815	579	21	17	64.126793	i
5	1	1	1	8	6	1903	580	4	3	39.005566	:
5	1	1	1	8	7	1997	588	23	8	37.132626	=
5	1	1	1	8	8	2044	584	7	6	18.226074	>
5	1	1	1	8	9	2366	578	127	33	29.310333	ie
5	1	1	1	8	10	2504	586	26	14	50.571693	4
4	1	1	1	9	0	720	595	1826	88	-1	
5	1	1	1	9	1	720	595	29	48	70.707260	A
5	1	1	1	9	2	1089	615	19	12	4.708061	.
5	1	1	1	9	3	1138	602	22	71	65.295975	{
5	1	1	1	9	4	1211	606	36	68	11.416840	|
5	1	1	1	9	5	1282	633	4	5	26.822716	?
