level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	8	0	2532	3300	-1	
3	1	1	1	0	0	10	0	2530	61	-1	
4	1	1	1	1	0	10	0	2530	61	-1	
5	1	1	1	1	1	10	0	94	15	0.000000	tae>
5	1	1	1	1	2	171	0	130	3	14.543167	a
5	1	1	1	1	3	476	2	36	3	51.249741	i=
5	1	1	1	1	4	1933	6	5	2	0.000000	E
5	1	1	1	1	5	2061	7	19	2	11.854385	So
5	1	1	1	1	6	2102	7	44	15	0.000000	non
5	1	1	1	1	7	2464	0	76	61	38.728767	or
3	1	1	2	0	0	10	34	372	11	-1	
4	1	1	2	1	0	10	34	372	11	-1	
5	1	1	2	1	1	10	37	3	8	29.565895	|
5	1	1	2	1	2	379	34	3	11	67.833054	i
3	1	1	3	0	0	10	48	374	65	-1	
4	1	1	3	1	0	378	49	6	64	-1	
5	1	1	3	1	1	378	49	6	64	0.000000	)
3	1	1	4	0	0	10	80	2207	34	-1	
4	1	1	4	1	0	10	80	2207	34	-1	
5	1	1	4	1	1	10	80	3	15	19.663651	I
5	1	1	4	1	2	932	83	6	8	25.257027	7
5	1	1	4	1	3	1379	83	12	31	15.016747	be
5	1	1	4	1	4	2207	97	10	13	25.809296	.
3	1	1	5	0	0	10	99	374	68	-1	
4	1	1	5	1	0	10	99	374	68	-1	
5	1	1	5	1	1	10	99	17	68	8.146729	b
5	1	1	5	1	2	378	116	6	17	29.575340	i
3	1	1	6	0	0	10	136	2530	500	-1	
4	1	1	6	1	0	1231	167	816	15	-1	
5	1	1	6	1	1	1231	167	3	3	0.000000	;
5	1	1	6	1	2	2040	172	7	10	76.895439	:
4	1	1	6	2	0	26	200	616	42	-1	
5	1	1	6	2	1	26	200	15	42	31.542976	>
5	1	1	6	2	2	379	219	6	13	32.256500	i
5	1	1	6	2	3	640	238	2	2	20.497650	|
4	1	1	6	3	0	201	240	1088	55	-1	
5	1	1	6	3	1	201	244	3	2	48.142170	,
5	1	1	6	3	2	378	240	12	55	66.719177	i
