level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	79	0	2468	3124	-1	
3	1	1	1	0	0	79	0	2468	3124	-1	
4	1	1	1	1	0	816	0	1731	29	-1	
5	1	1	1	1	1	816	0	280	48	27.411469	EEE
5	1	1	1	1	2	1124	0	48	48	27.411469	'CS
5	1	1	1	1	3	1288	0	232	48	20.637093	OOOO
4	1	1	1	2	0	939	276	1476	40	-1	
5	1	1	1	2	1	939	306	4	2	11.879890	:
5	1	1	1	2	2	1084	286	41	17	24.974586	Ce
5	1	1	1	2	3	1161	282	53	28	36.625931	Mee
5	1	1	1	2	4	1281	299	3	5	0.000000	.
5	1	1	1	2	5	1762	276	53	40	64.017548	at
5	1	1	1	2	6	1826	292	19	20	0.000000	#4}
5	1	1	1	2	7	1880	306	11	4	36.015553	.
5	1	1	1	2	8	2412	309	3	5	56.364628	,
4	1	1	1	3	0	203	407	1985	38	-1	
5	1	1	1	3	1	107	421	54	12	29.084778	Sy
5	1	1	1	3	2	203	425	4	13	6.816727	oF
5	1	1	1	3	3	287	426	16	11	0.000000	o
5	1	1	1	3	4	490	414	2	2	0.000000	(
5	1	1	1	3	5	576	437	2	3	11.825165	:
5	1	1	1	3	6	665	414	5	24	47.255432	ag
5	1	1	1	3	7	705	417	49	21	34.062439	a
5	1	1	1	3	8	998	412	14	6	44.161755	4
5	1	1	1	3	9	1693	412	24	26	0.000000	¥;
5	1	1	1	3	10	1803	432	5	8	0.000000	:
5	1	1	1	3	11	1947	407	34	38	0.000000	*,
5	1	1	1	3	12	1997	418	6	13	57.401794	4
5	1	1	1	3	13	2088	417	100	16	0.000000	—"
4	1	1	1	4	0	102	468	808	32	-1	
5	1	1	1	4	1	102	468	38	24	0.000000	‘¢
5	1	1	1	4	2	239	480	5	7	0.000000	-
5	1	1	1	4	3	307	479	25	9	62.255501	a
5	1	1	1	4	4	678	476	53	24	0.000000	.¥
5	1	1	1	4	5	755	473	7	9	11.759476	*
5	1	1	1	4	6	783	475	33	15	52.371960	Sy
5	1	1	1	4	7	846	483	26	11	17.633400	mal
5	1	1	1	4	8	907	479	3	6	0.000000	Y
4	1	1	1	5	0	499	1138	1693	181	-1	
5	1	1	1	5	1	499	1153	16	52	47.739349	f
5	1	1	1	5	2	580	1153	11	13	57.857166	.
5	1	1	1	5	3	794	1138	37	115	15.638123	q
5	1	1	1	5	4	1170	1151	11	14	49.837154	.
5	1	1	1	5	5	1629	1142	40	177	49.332623	f
5	1	1	1	5	6	1999	1157	13	35	56.721958	;
5	1	1	1	5	7	2106	1151	16	54	0.000000	{
5	1	1	1	5	8	2181	1144	11	13	0.000000	°
4	1	1	1	6	0	375	1337	28	42	-1	
5	1	1	1	6	1	375	1337	28	42	0.000000	ie
4	1	1	1	7	0	119	1538	370	16	-1	
5	1	1	1	7	1	119	1539	30	15	16.760742	a
5	1	1	1	7	2	456	1538	33	11	19.487167	>
4	1	1	1	8	0	441	1659	45	17	-1	
5	1	1	1	8	1	441	1659	45	17	57.557735	aa
4	1	1	1	9	0	487	1726	62	41	-1	
5	1	1	1	9	1	487	1726	62	41	19.958153	a
4	1	1	1	10	0	96	1779	483	58	-1	
5	1	1	1	10	1	96	1779	8	5	69.948997	-
5	1	1	1	10	2	488	1787	91	50	38.867844	=
4	1	1	1	11	0	244	1904	1599	37	-1	
5	1	1	1	11	1	244	1907	20	34	53.601639	4
5	1	1	1	11	2	550	1904	808	35	36.162678	Se
5	1	1	1	11	3	1505	1908	126	21	44.538235	sai
5	1	1	1	11	4	1775	1911	68	4	22.276306	oe
4	1	1	1	12	0	102	1983	682	19	-1	
5	1	1	1	12	1	102	1983	131	19	28.188698	Ae
5	1	1	1	12	2	680	1978	104	17	33.240761	as
4	1	1	1	13	0	79	3111	6	13	-1	
5	1	1	1	13	1	79	3111	6	13	31.260338	;
