page	mean_confidence	chars
1	0	890
2	0	1277
3	0	1589
4	0	1025
5	0	969
6	0	1438
7	0	1215
8	0	1237
9	0	1233
10	0	1412
11	0	1346
12	0	1318
13	0	1243
14	0	1295
15	0	1263
16	0	1170
17	0	1210
18	0	1213
19	0	1230
20	0	966
21	0	1195
22	0	832
23	0	1003
24	0	903
25	0	1109
26	0	1151
27	0	1022
28	0	1210
29	0	1193
30	0	1233
31	0	1087
32	0	862
33	0	654
34	0	1005
35	0	925
36	0	740
37	0	1093
38	0	1289
39	0	1090
40	0	1021
41	0	1131
42	0	1127
43	0	1204
44	0	874
45	0	698
46	0	1654
47	0	850
48	0	849
49	0	730
50	0	769
51	0	758
52	0	880
53	0	770
54	0	702
55	0	853
56	0	805
57	0	699
58	0	751
59	0	869
60	0	804
61	0	811
62	0	818
63	0	837
64	0	544
65	0	775
66	0	827
67	0	842
68	0	772
69	0	753
70	0	720
71	0	755
72	0	781
73	0	823
74	0	690
75	0	683
76	0	778
77	0	762
78	0	840
79	0	700
80	0	800
81	0	804
