id	year	authors	title	n_documents	documents
WC0001	1997	Z. ADAMOWICZ and P. ZBIERSKI, The logic of mathematics	A modern course in classical logic, John Wiley and Sons, 1997	4	Willard2005; Willard2005-TAB; Willard2006a; Willard2007-APAL
WC0002	1999	Z. Adamowicz	On Tableaux consistency in weak theories	3	Willard2000-TAB; Willard2001; Willard2002a
WC0003	2001	Z. Adamowicz and T. Bigorajska	Existentially Closed Structures and Gödel’s Second Incompleteness Theorem	8	Willard2005; Willard2005-TAB; Willard2006-WoLLIC; Willard2007-APAL; Willard2009; Willard2011; Willard2020; Willard2020-LFCS
WC0004	2001	Z. Adamowicz and P. Zbierski	On Herbrand consistency in weak theories	15	Willard2002a; Willard2004; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2007-KGS6; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0005	2002	Z. ADAMOWICZ	Herbrand consistency and bounded arithmetic	15	Willard2002a; Willard2002c; Willard2004; Willard2005; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2007-KGS6; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018
WC0006	1994	M. Ajtai	Complexity of the pigeon hole principle	2	Willard2006a; Willard2016
WC0007	1990	T. ARAI	Derivability conditions on Rosser’s proof predicates, Notre Dame Journal on Formal Logic	4	Willard2005; Willard2005-TAB; Willard2007-APAL; Willard2011
WC0008	1902	Artemov, S.	The provability of consistency	2	Willard2020; Willard2020-LFCS
WC0009	2001	Artemov, S.	Explicit provablity and constructive semantics. Bulletin of Symbolic Logic 7(1): 1-36 (2001)	2	Willard2020; Willard2020-LFCS
WC0010	2005	Artemov, S., Beklemishev, L. D.	Provability logic. In Handbook on Philosophical Logic, Second Edition, pp. 189-360 (2005)	2	Willard2020; Willard2020-LFCS
WC0011	1995	L. D. Beklemishev	Iterated local reflection versus iterated consistency	1	Willard2016
WC0012	1997	L. D. Beklemishev	Induction rules, reflection principles and provably recursive functions	2	Willard2016; Willard2018
WC0013	2003	L. D. Beklemishev	Proof theoretic analysis by iterated reflection	1	Willard2016
WC0014	2005	Beklemishev, L. D.	Reflection principles and provability algebras in formal arithmetic. Russian Mathematical Surveys 60(2): 197-268 (2005)	2	Willard2020; Willard2020-LFCS
WC0015	2014	Beklemishev, L. D.	Positive provability for uniform reflection principles	2	Willard2020; Willard2020-LFCS
WC0016	1962	J. Benett	Ph. D. Dissertation	4	Willard2000-TAB; Willard2001; Willard2002a; Willard2007-APAL
WC0017	1962	J. BENETT	Ph.D. thesis	1	Willard2005
WC0018	1995	L Berkemishev	Iterated Local Reﬂection Versus Iterated Consistency	1	Willard2011
WC0019	1997	L Berkemishev	Induction Rules, Reﬂection Principles and Provably Recursive Functions	1	Willard2011
WC0020	2003	L Berkemishev	Proof Theoretic Analysis by Iterated Reﬂection	1	Willard2011
WC0021	1956	E.W. Beth	Semantical Entailment and Formal Derivability Indag. Math. 19 (1956) pp. 357-388. G. Boolos, The Unprovability of Consistency: An Essay on Modal Logic Cambridge University Press, 1979. A. Bezboruah an	1	Willard1993-TR
WC0022	1976	A. Bezboruah and J. Shepherdson	Gödel’s Second Incompleteness Theorem for Q	18	Willard1993; Willard2000-TAB; Willard2001; Willard2002a; Willard2004; Willard2005; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0023	1979	G. Boolos, The Unprovability of Consistency	An Essay on Modal Logic Cambridge University Press, 1979	1	Willard1993
WC0024	1993	G. Boolos	The Logic of Provability	2	Willard2001; Willard2016
